AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
274247,ANO5,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Bouquet et al., Neuromuscular Disorders, 2012;Hicks et al., Nature Genetics, 2011",,2.46,
18388,SRD5A2,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,2.54,
611834,ANKRD11,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strong,"Sirmaci et al., Am J Hum Genet, 2011;Deciphering Developmental Disorders Study, Nature, 2017",,2.68,
18388,SRD5A2,kimi-k2.6,Pathogenic,Uncertain significance,0.3,PM2,"Richards S, Genet Med, 2015;Wilson JD, J Clin Invest, 1974;Canto P, Endocr Rev, 2001",,4.67,
266536,MYO15A,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"Wang et al., J Med Genet, 1998;Friedman et al., Am J Hum Genet, 2000;Nishio & Usami, J Hum Genet, 2017",,2.49,
274247,ANO5,kimi-k2.6,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Richards S, et al., Genet Med, 2015, PMID:25741868; Sarkozy A, et al., Am J Hum Genet, 2013, PMID:23332963",,5.34,
98777,ABCA4,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;BS1,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.3,
98777,ABCA4,kimi-k2.6,Pathogenic,Pathogenic,0.85,PVS1_Strong;PM2,"Richards S, et al., Genet Med, 2015; den Dunnen JT, et al., Hum Mutat, 2016; Cremers FPM, et al., Prog Retin Eye Res, 1998",,4.55,
26966,IDUA,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;PM1;PP3,"Richards et al., Genet Med, 2015",,2.15,
611834,ANKRD11,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2;PP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-24;Sirmaci A, et al. ANKRD11 variants cause KBG syndrome. Am J Hum Genet. 2011;89(2):289-94;Ockeloen CW, et al. ANKRD11 loss-of-function variants are a major cause of KBG syndrome. Eur J Hum Genet. 2015;23(12):1707-10",,9.23,
266536,MYO15A,kimi-k2.6,Pathogenic,Pathogenic,0.85,PVS1;PM2,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;MYO15A is a well-established gene for autosomal recessive deafness DFNB3, Li et al., Nat Genet, 1998; Libby & Steel, Nat Rev Genet, 2000",,7.12,
15186,OAT,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"Mitchell GA, et al. Ornithine aminotransferase deficiency. In: GeneReviews, 2019.;Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med, 2015.",,2.54,
