AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
1540250,DHX32,kimi-k2.6,Benign,Uncertain significance,0.1,,,,3.78,
367673,DAG1,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al., Genet Med, 2015; ACMG Sequence Variant Interpretation Working Group recommendations",,4.91,
256704,LMAN1,kimi-k2.6,Benign,Uncertain significance,0.1,,,,2.27,
799421,MSH3,kimi-k2.6,Benign,Benign,0.85,BP4;BP7,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;Shirley et al., Genet Med, 2017",,4.52,
1540250,DHX32,qwen3.7-max,Benign,Uncertain significance,0.8,,,,14.93,
256704,LMAN1,qwen3.7-max,Benign,Uncertain significance,0.5,PM2,,,11.62,
459309,CIZ1,kimi-k2.6,Benign,Uncertain significance,0.2,,,,2.6,
4847593,CEP120,kimi-k2.6,Pathogenic,Uncertain significance,0.2,,,,3.08,
367673,DAG1,qwen3.7-max,Benign,Uncertain significance,0.8,BP7,"Richards S, et al., Genet Med, 2015",,22.58,
799421,MSH3,qwen3.7-max,Benign,Likely benign,0.9,BP7,"Richards S et al., Genet Med, 2015",,14.19,
703735,FTO,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;FTO is not associated with Mendelian disease; common variants associated with obesity susceptibility through regulatory mechanisms, not coding variants",,3.81,
519639,IL17RC,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, Genet Med, 2015; ACMG Sequence Variant Interpretation Working Group recommendations",,3.22,
459309,CIZ1,qwen3.7-max,Benign,Uncertain significance,0.5,,,,14.32,
614518,SH3KBP1,kimi-k2.6,Pathogenic,Uncertain significance,0.2,,"Richards S, et al., Genet Med, 2015;Sherry ST, et al., Nucleic Acids Res, 2001",,3.99,
4847593,CEP120,qwen3.7-max,Pathogenic,Pathogenic,0.85,PVS1;PM2,"Richards S, et al., Genet Med, 2015",,17.49,
703735,FTO,qwen3.7-max,Benign,Likely benign,0.85,BP7,"Richards et al., Genet Med, 2015",,14.82,
315468,RBP3,kimi-k2.6,Benign,Uncertain significance,0.1,,,,2.47,
519639,IL17RC,qwen3.7-max,Benign,Likely benign,0.7,BP7,,,11.83,
252348,DNAH8,kimi-k2.6,Benign,Uncertain significance,0.1,,,,3.73,
390370,ADA2,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015",,3.25,
614518,SH3KBP1,qwen3.7-max,Pathogenic,Uncertain significance,0.6,,,,18.7,
274247,ANO5,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Sarkozy A, Neuromuscul Disord, 2013; Hicks D, Hum Mutat, 2011",,5.14,
315468,RBP3,qwen3.7-max,Benign,Likely benign,0.6,BP7,"Richards et al., Genet Med, 2015",,20.45,
252348,DNAH8,qwen3.7-max,Benign,Uncertain significance,0.6,PM2;PP3,"Richards S, et al., Genet Med, 2015",,18.98,
390370,ADA2,qwen3.7-max,Benign,Benign,0.9,BP7,,,15.17,
502395,ACTB,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, Genet Med, 2015; ACMG Sequence Variant Interpretation Working Group recommendations",,4.3,
536920,ANKRD11,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Zhang et al., Am J Hum Genet, 2010; Sirmaci et al., Am J Med Genet A, 2011; Richards et al., Genet Med, 2015",,3.88,
4986965,MSH6,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2,"ACMG, Genet Med, 2015; Lynch et al., N Engl J Med, 2009",,4.22,
502395,ACTB,qwen3.7-max,Benign,Likely benign,0.8,BP7,"Richards et al., Genet Med, 2015",,13.07,
