AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
1595058,STAG2,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, Genet Med, 2015;Oza A, Hum Mutat, 2019",,5.57,
544321,BCKDHB,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM4,"Richards S, Genet Med, 2015; Chuang JL, J Clin Invest, 1994",,5.67,
4931682,WAC,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, et al., Genet Med, 2015; ACMG/AMP Sequence Variant Interpretation Guidelines",,6.05,
1245256,CRLF1,kimi-k2.6,Benign,Benign,0.95,BA1;BP7,"Richards S, Genet Med, 2015; gnomAD database, accessed 2024",,6.6,
46864,PSEN1,kimi-k2.6,Pathogenic,Pathogenic,0.95,PS1;PM1;PM2;PP2;PP3,"Rogaev et al., Nature, 1995; Cruts et al., Human Molecular Genetics, 1995; Kamino et al., American Journal of Medical Genetics, 1995; Campion et al., The Lancet, 1995; Hutton et al., Nature Genetics, 1996; Rogaeva et al., Neurobiology of Aging, 2001; Alonso Vilatela et al., Neurodegenerative Diseases, 2012",,7.89,
1523421,ILK,kimi-k2.6,Benign,Benign,0.85,BP1;BP4;BP7,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;Shabani et al., Hum Mutat, 2018 (ILK variant functional studies);Ilk gene knockout studies: Friedrich et al., PNAS, 2004; Sakai et al., J Cell Biol, 2003",,9.3,
4975120,CTNNA1,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, et al., Genet Med, 2015; ACMG/AMP sequence variant interpretation guidelines",,4.29,
1196263,DRP2,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015;Oza V, et al., Hum Mutat, 2018",,4.6,
53208,ANAPC15;LRTOMT;TOMT,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015; Oza VH, et al., Hum Mutat, 2018",,4.25,
1153278,NAXE,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;Sherman et al., Hum Mutat, 2019 (synonymous variant interpretation)",,5.61,
