AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
183304,ATM,deepseek-chat,Conflicting classifications of pathogenicity,Uncertain significance,0.6,PM2;PP3;BP4,"Richards et al., Genet Med, 2015",,2.95,
55490,ADGRV1,deepseek-chat,Conflicting classifications of pathogenicity,Uncertain significance,0.6,PM2;PP3,"Abou Tayoun et al., Genet Med, 2018;Oza et al., Hum Mutat, 2018",,3.32,
1976941,ZNF469,deepseek-chat,Conflicting classifications of pathogenicity,Uncertain significance,0.6,PM2_supporting;PP3_supporting,"Burkitt Wright EM, et al. Am J Hum Genet, 2011;Rolvien T, et al. Bone, 2019",,3.48,
183304,ATM,kimi-k2.6,Conflicting classifications of pathogenicity,Pathogenic,0.75,PS1;PM2;PP3,"ClinVar database, accessed 2024; Savitsky et al., Hum Mol Genet, 1995; Prokopczyk et al., Breast Cancer Res Treat, 2016",,5.05,
321054,ZFYVE26,deepseek-chat,Conflicting classifications of pathogenicity,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.29,
283584,MERTK,deepseek-chat,Conflicting classifications of pathogenicity,Uncertain significance,0.7,PM2;BP4;BP7,"Richards S, et al. Genet Med, 2015",,2.17,
1976941,ZNF469,kimi-k2.6,Conflicting classifications of pathogenicity,Uncertain significance,0.3,,"Khan AO, Al-Mesfer S, Mohammed AR, et al. ZNF469 mutations in brittle cornea syndrome. Am J Hum Genet. 2011;89(4):533-539;Rohrbach M, Spencer HL, Porter LF, et al. ZNF469 frequently mutated in the brittle cornea syndrome (BCS) is a single exon gene possibly regulated by NFkB. Sci Rep. 2013;3:2078",,7.3,
55490,ADGRV1,kimi-k2.6,Conflicting classifications of pathogenicity,Uncertain significance,0.3,,"Baux D, et al. Mol Vis. 2014;Jaijo T, et al. J Med Genet. 2010",,7.71,
283584,MERTK,kimi-k2.6,Conflicting classifications of pathogenicity,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015; MERTK-related disorders, GeneReviews, 2017",,5.5,
270266,COL6A3,deepseek-chat,Conflicting classifications of pathogenicity,Uncertain significance,0.7,PM2;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.2,
