AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
1245256,CRLF1,mimo-v2.5-pro,Benign,Benign,1.0,BA1,"Exome Sequencing Project (ESP), Nature, 2012;Exome Aggregation Consortium (ExAC), Nature, 2016;1000 Genomes Project (1000G), Nature, 2015",,34.71,
46864,PSEN1,mimo-v2.5-pro,Pathogenic,Pathogenic,0.95,PS1;PM2,"Cruts M et al., Human Mutation, 2012;Alzheimer Disease & Frontotemporal Dementia Mutation Database, 2015",,45.37,
1245256,CRLF1,deepseek-v4-pro,Benign,Benign,0.99,BA1,"Richards et al., Genetics in Medicine, 2015;Lek et al., Nature, 2016",,46.43,
1595058,STAG2,mimo-v2.5-pro,Benign,Benign,0.9,BS1,"ExAC Project, 2017;1000 Genomes Project Consortium, 2015",,58.14,
1523421,ILK,mimo-v2.5-pro,Benign,Uncertain significance,0.5,PM2,,,15.96,
46864,PSEN1,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS3;PM1;PM2;PP2;PP3,"Campion et al., Hum Mol Genet, 1995;Murayama et al., Neurosci Lett, 1999;Richards et al., Genet Med, 2015",,139.89,
1196263,DRP2,mimo-v2.5-pro,Benign,Benign,0.95,BA1;BS1,,,10.17,
1153278,NAXE,deepseek-v4-pro,Benign,Benign,1.0,BA1,"Richards et al., Genetics in Medicine, 2015;ESP6500;1000 Genomes Project",,22.64,
1595058,STAG2,deepseek-v4-pro,Benign,Likely benign,0.7,BS1;BP4,"Richards et al., Genet Med, 2015;Lek et al., Nature, 2016;1000 Genomes Project Consortium, Nature, 2015",,149.27,
1153278,NAXE,mimo-v2.5-pro,Benign,Benign,0.99,BA1,Exome Sequencing Project (ESP);1000 Genomes Project,,17.21,
53208,ANAPC15;LRTOMT;TOMT,mimo-v2.5-pro,Benign,Benign,0.95,BA1,"Richards S, et al. Genet Med. 2015;Exome Aggregation Consortium. Nature. 2016;1000 Genomes Project Consortium. Nature. 2015",,13.82,
1523421,ILK,deepseek-v4-pro,Benign,other,,,,empty output,178.02,
