AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
4921562,HEXB,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2_supporting,"Mahuran DJ, Biochim Biophys Acta, 1999;Gomez-Lazaro M, et al., Hum Mutat, 2017",,4.06,
247170,KCNN4,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;PP3,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,4.2,
4921562,HEXB,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;Kaback MM, Desnick RJ, Hexosaminidase A Deficiency, Sandhoff Disease, and Related Disorders, Scriver's Online Metabolic and Molecular Bases of Inherited Disease, 2014;McKusick VA, HEXB, Sandhoff disease, OMIM #268890",,6.17,
247170,KCNN4,kimi-k2.6,Pathogenic,Uncertain significance,0.3,,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-24",,2.55,
550291,RORA,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Guissart et al., American Journal of Human Genetics, 2018;OMIM 600825",,2.36,
550291,RORA,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, et al., Genet Med, 2015, PMID:25741868",,2.57,
4970870,SMARCA4,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"Witkowski et al., Am J Hum Genet, 2014;Schneppenheim et al., Hum Mutat, 2010",,3.46,
247170,KCNN4,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS3;PS4;PM1;PM2;PP1;PP3,"Rapetti-Mauss et al., Blood, 2015;Andolfo et al., Blood, 2015;Glogowska et al., Blood, 2015",,75.96,
4970870,SMARCA4,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, Genet Med, 2015; Ohta T, Cancer Sci, 2013 (SMARCA4 tumor suppressor function); Kadoch C, Nat Rev Cancer, 2015 (SMARCA4 in SWI/SNF complex)",,2.95,
274247,ANO5,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2,"Bouquet et al., Neuromuscul Disord, 2012;Hicks et al., Am J Hum Genet, 2011",,2.4,
4921562,HEXB,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM2;PP5,"Richards S, et al. Genet Med. 2015;17(5):405-424.;ClinVar. 2024.",,97.33,
274247,ANO5,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Sarkozy A, Neuromuscul Disord, 2013;Illa I, Neurology, 2012;Hicks D, Am J Hum Genet, 2011;ACMG Standards and Guidelines, Genet Med, 2015",,3.98,
255125,ALDH1A3,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,1.81,
550291,RORA,deepseek-v4-pro,Pathogenic,other,,,,empty output,145.2,
255125,ALDH1A3,kimi-k2.6,Benign,Uncertain significance,0.2,,,,2.22,
175177,MYBPC3,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PP5,"Richard et al., Circulation, 2003;Moolman-Smook et al., J Med Genet, 1999;ClinVar submissions",,2.48,
4970870,SMARCA4,deepseek-v4-pro,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Richards et al., Genetics in Medicine, 2015;Tsurusaki et al., Nature Genetics, 2012",,143.57,
175177,MYBPC3,kimi-k2.6,Pathogenic,Pathogenic,0.99,PVS1;PM2,"Richards S, Genet Med, 2015; Elliott PM, Eur Heart J, 2014; Walsh R, Genet Med, 2017",,3.01,
4973094,APC,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strong,"Kerr SE, et al. APC germline mutations in individuals with multiple colorectal adenomas. J Mol Diagn. 2013;Lamlum H, et al. The type of somatic mutation at APC in familial adenomatous polyposis is determined by the site of the germline mutation. Am J Hum Genet. 1999",,2.61,
255125,ALDH1A3,deepseek-v4-pro,Benign,Uncertain significance,0.4,PM2,"Richards S, et al., Genet Med, 2015;gnomAD database",,119.63,
274247,ANO5,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM2;PP5,"Richards S, Genet Med, 2015;Bolduc V, Am J Hum Genet, 2010;ClinVar, 2024",,137.85,
141206,ADGRV1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards et al., Genet Med, 2015",,2.11,
4973094,APC,kimi-k2.6,Pathogenic,Pathogenic,0.99,PVS1;PS2;PM2,"Thompson et al., Am J Hum Genet, 2022; Richards et al., Genet Med, 2015",,2.63,
141206,ADGRV1,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015;ACMG/AMP Sequence Variant Interpretation Guidelines, 2015",,2.47,
76773,CYP27A1,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;PP3;PP4,"Pilo-de-la-Fuente B, et al. Cerebrotendinous xanthomatosis: report on new cases and a novel mutation. J Neurol. 2011;258(5):869-874.;Verrips A, et al. Clinical and molecular genetic characteristics of patients with cerebrotendinous xanthomatosis. Brain. 2000;123(Pt 5):908-919.",,3.04,
4973094,APC,deepseek-v4-pro,Pathogenic,Pathogenic,0.99,PVS1;PM2;PP5,"Richards S, et al., Genet Med, 2015;ClinVar, NCBI, 2024",,75.12,
76773,CYP27A1,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PS3;PM1;PM2;PP3,"Bjorkhem I, Waterham HR, Eur J Hum Genet, 2012; Miki E, et al., J Lipid Res, 1990; Cruz PD Jr, et al., Arch Dermatol, 1988; Leitersdorf E, et al., J Clin Invest, 1993",,3.61,
4964743,LDLR,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2_supporting,"Hobbs HH, et al. Hum Mutat, 1992;Leigh SE, et al. J Med Genet, 1993;Varret M, et al. Am J Hum Genet, 1997",,2.46,
175177,MYBPC3,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM2;PP5,"Richards S, et al. Genet Med. 2015;17(5):405-424.;ClinVar, NM_000256.3(MYBPC3):c.1924C>T (p.Gln642Ter)",,97.47,
4964743,LDLR,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, et al., Genet Med, 2015; Karczewski KJ, et al., Nature, 2020",,2.75,
2944012,MYH7,deepseek-chat,Pathogenic,Pathogenic,0.85,PM2;PM1;PP3;PP2;PP5,"Walsh R, et al. Genet Med. 2016;18(8):823-832;ClinVar submission (SCV000203456.5)",,2.67,
76773,CYP27A1,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS3;PM2;PM3;PP3;PP4,"Cali JJ et al., J Biol Chem, 1991, PMID: 2019608;Verrips A et al., Brain, 2000, PMID: 10775536",,74.12,
2944012,MYH7,kimi-k2.6,Pathogenic,Pathogenic,0.85,PVS1;PM1;PM2;PP2;PP3,"Walsh R, Thomson KL, Ware JS, et al. Reassessment of Mendelian gene pathogenicity using 7,855 cardiomyopathy cases and 60,860 reference samples. Genet Med. 2017;19(2):192-203;Elliott PM, Anastasakis A, Borger MA, et al. 2014 ESC Guidelines on diagnosis and management of hypertrophic cardiomyopathy. Eur Heart J. 2014;35(39):2733-2779;Richard P, Charron P, Carrier L, et al. Hypertrophic cardiomyopathy: distribution of disease genes, spectrum of mutations, and implications for a molecular diagnosis strategy. Circulation. 2003;107(17):2227-2232;Andersen PS, Havndrup O, Hougs L, et al. MYH7 missense mutation in myosin rod domain associated with hypertrophic cardiomyopathy in a family with Wolff-Parkinson-White syndrome. Eur J Hum Genet. 2003;11(10):743-750",,6.31,
565687,CD27,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"van Montfrans JM, et al. J Allergy Clin Immunol, 2012;Alkhairy OK, et al. J Allergy Clin Immunol, 2015",,2.09,
565687,CD27,deepseek-v4-pro,Pathogenic,Pathogenic,0.9,PVS1;PM2,"van Montfrans et al., J Allergy Clin Immunol, 2012;Alkhairy et al., J Allergy Clin Immunol, 2015",,53.72,
565687,CD27,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Salzer E, J Exp Med, 2013; Martin E, Blood, 2014; ACMG/AMP Guidelines, Genet Med, 2015",,2.69,
254880,DYNC1H1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Genet Med. 2015;17(5):405-424.",,2.23,
141206,ADGRV1,deepseek-v4-pro,Benign,other,,,,empty output,152.37,
254880,DYNC1H1,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015; ACMG Sequence Variant Interpretation Guidelines",,2.48,
375923,ATP5F1A,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.62,
4964743,LDLR,deepseek-v4-pro,Pathogenic,other,,,,empty output,141.72,
375923,ATP5F1A,kimi-k2.6,Benign,Uncertain significance,0.3,,,,2.3,
621282,HGSNAT,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards S, et al. Genet Med, 2015",,1.94,
2944012,MYH7,deepseek-v4-pro,Pathogenic,other,,,,empty output,138.2,
621282,HGSNAT,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al., Genet Med, 2015; ACMG/AMP Sequence Variant Interpretation Guidelines",,3.33,
622627,TP53,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strong,"Bouaoun L, et al. TP53 Variations in Human Cancers: New Lessons from the IARC TP53 Database and Genomics Data. Hum Mutat. 2016;37(9):865-876.;Kato S, et al. Understanding the function-structure and function-mutation relationships of p53 tumor suppressor protein by high-resolution missense mutation analysis. Proc Natl Acad Sci U S A. 2003;100(14):8424-8429.",,3.24,
622627,TP53,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM2;PP5,"Richards et al., Genetics in Medicine, 2015;ClinVar, 2024",,65.85,
622627,TP53,kimi-k2.6,Pathogenic,Pathogenic,0.99,PVS1;PS3,"ACMG Standards and Guidelines for the Interpretation of Sequence Variants, Richards et al., Genet Med, 2015;IARC TP53 Database, Petitjean et al., Hum Mutat, 2007;Kato et al., Proc Natl Acad Sci USA, 2003",,2.72,
715868,TBCD,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards et al., Genet Med, 2015",,2.28,
254880,DYNC1H1,deepseek-v4-pro,Benign,Uncertain significance,0.3,,"Richards et al., Genet Med, 2015",,104.98,
715868,TBCD,kimi-k2.6,Benign,Uncertain significance,0.3,,,,2.03,
320017,KCNQ1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.11,
375923,ATP5F1A,deepseek-v4-pro,Benign,Uncertain significance,0.25,,"Richards et al., Genetics in Medicine, 2015",,120.19,
320017,KCNQ1,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015;Oza AM, et al., Hum Mutat, 2018",,2.54,
519639,IL17RC,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.04,
621282,HGSNAT,deepseek-v4-pro,Benign,Likely benign,0.9,BP4;BP7,"Richards S et al., Genetics in Medicine, 2015",,133.73,
519639,IL17RC,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, Genet Med, 2015; Oza V, Hum Mutat, 2018",,2.88,
1153291,PIGM,deepseek-chat,Benign,Uncertain significance,0.2,,,,1.81,
715868,TBCD,deepseek-v4-pro,Benign,Likely benign,0.8,BP4;BP7,"Richards S, et al. Genet Med. 2015;17(5):405-424",,75.59,
1153291,PIGM,kimi-k2.6,Benign,Uncertain significance,0.2,,,,1.9,
255205,CDAN1,deepseek-chat,Benign,Uncertain significance,0.7,PM2;BP4;BP7,"Richards S, et al. Genet Med. 2015;17(5):405-424",,1.95,
320017,KCNQ1,deepseek-v4-pro,Benign,Benign,0.95,BA1,"Karczewski et al., Nature, 2020",,124.64,
