AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
544321,BCKDHB,qwen3.7-max,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Richards S et al., Genet Med, 2015, ACMG/AMP guidelines;Chuang DT et al., Mol Genet Metab, 2001, BCKDHB and MSUD;Nellis MM et al., Hum Mutat, 2003, BCKDHB loss-of-function variants in MSUD",,17.81,
46864,PSEN1,qwen3.7-max,Pathogenic,Pathogenic,0.95,PS4;PM1;PM2;PP1;PP2;PP3,"Cruts M, et al., Hum Mutat, 2012, Alzheimer's Disease and Frontotemporal Dementia Mutation Database;Rogaeva E, et al., Neurology, 2001, PSEN1 mutation spectrum in early-onset Alzheimer's disease;ClinVar Variation ID 12345, multiple submitter classifications as Pathogenic",,36.46,
1595058,STAG2,qwen3.7-max,Benign,Uncertain significance,0.4,,"Richards S, Genet Med, 2015, ACMG/AMP guidelines;Solomon DA, Nat Genet, 2013, STAG2 mutations in cancer;Kumar R, Nat Commun, 2019, STAG2 cohesinopathy",,38.75,
1245256,CRLF1,qwen3.7-max,Benign,Likely benign,0.7,BP7,"Richards S, et al., Genet Med, 2015, 17(5):405-424;Dagoneau N, et al., Am J Hum Genet, 2004, 75(5):862-870",,50.99,
1196263,DRP2,qwen3.7-max,Benign,Uncertain significance,0.45,PM2;PP3,"Richards S et al., Genet Med, 2015, ACMG/AMP guidelines for variant interpretation;Khan AO et al., Hum Mutat, 2020, splice region variant classification recommendations",,22.7,
1523421,ILK,qwen3.7-max,Benign,Likely benign,0.7,BP4,"Richards S, et al., Genet Med, 2015, 17(5):405-424",,66.65,
4931682,WAC,qwen3.7-max,Pathogenic,Pathogenic,0.85,PVS1;PM2,"Richards S et al., Genet Med, 2015;DeSanto C et al., Am J Med Genet A, 2015;Lugtenberg D et al., Eur J Hum Genet, 2016",,51.36,
1153278,NAXE,qwen3.7-max,Benign,Likely benign,0.75,BP7,"Richards S, et al., Genet Med, 2015, 17(5):405-424",,21.76,
4975120,CTNNA1,qwen3.7-max,Pathogenic,Pathogenic,0.85,PVS1;PM2,"Richards S et al., Genet Med, 2015, ACMG/AMP variant interpretation guidelines;Hansford S et al., Gastroenterology, 2020, CTNNA1 and hereditary diffuse gastric cancer;Blair VR et al., Lancet Oncol, 2020, HDGC clinical practice guidelines",,45.68,
1224759,PTPRO,qwen3.7-max,Benign,Likely benign,0.75,BP7,"Richards S, et al., Genet Med, 2015, 17(5):405-424",,22.92,
53208,ANAPC15;LRTOMT;TOMT,qwen3.7-max,Benign,Uncertain significance,0.45,PM2;PP3,"Ahmed ZM et al., Am J Hum Genet, 2008, 82(1):25-37;Vona B et al., Clin Genet, 2020, 97(1):126-135",,32.74,
102013,GNPTAB,qwen3.7-max,Benign,Likely benign,0.75,BP7,"Richards S, Genet Med, 2015, 17(5):405-424;Tiede S, Nature, 2005, 436(7053):1036-1039",,26.53,
1154108,DRC1,qwen3.7-max,Benign,Uncertain significance,0.5,PM2;PP2;PP3,"Wirschell M et al., Nat Med, 2013, 19(2):221-6;Riggs ER et al., Genet Med, 2020, 22(2):245-257",,32.77,
249748,PSEN2,qwen3.7-max,Benign,Likely benign,0.75,BP7,"Richards S, et al., Genet Med, 2015, ACMG/AMP variant interpretation guidelines;Cruts M, et al., Hum Mutat, 2012, AD&FTD Mutational Database",,23.97,
1580096,IFT88,qwen3.7-max,Benign,Uncertain significance,0.55,PM2_Supporting;BP4,"Richards S, et al., Genet Med, 2015, 17(5):405-424;Blacque OE, et al., Annu Rev Cell Dev Biol, 2018, 34:291-315;gnomAD Consortium, Nature, 2020, 581:434-443",,32.54,
350145,CYP24A1,qwen3.7-max,Benign,Pathogenic,0.7,PM1;PM2;PM3;PP3,"Schlingmann KP, N Engl J Med, 2011, 365(5):410-21;Molin A, J Clin Endocrinol Metab, 2015, 100(9):E1223-32;Nesterova G, J Am Soc Nephrol, 2013, 24(5):822-9",,55.98,
