AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
1155127,SLC9A3,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.77,
501660,RIPOR2,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, Genet Med, 2015;ACMG Sequence Variant Interpretation Working Group standards",,4.81,
1155127,SLC9A3,kimi-k2.6,Benign,Benign,0.95,BP4;BP7,"Richards S, et al., Genet Med, 2015; ACMG/AMP sequence variant interpretation guidelines",,5.02,
501660,RIPOR2,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,2.47,
4803691,ATM,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strong,"Taylor AM, et al. Am J Hum Genet, 1996;Stankovic T, et al. Am J Hum Genet, 1998",,2.63,
4803691,ATM,kimi-k2.6,Pathogenic,Pathogenic,0.99,PVS1;PM2_Supporting,"Richards S, Genet Med, 2015; Orazio ED, Hum Mutat, 2021",,4.75,
4924701,NR2F1,kimi-k2.6,Pathogenic,Pathogenic,0.85,PVS1;PS2;PM2,"Bosch DGM, Boonstra KN, et al., Am J Hum Genet, 2014; Schaaf CP, et al., Am J Med Genet A, 2013; Marufova L, et al., Clin Genet, 2021",,7.47,
1155127,SLC9A3,deepseek-v4-pro,Benign,Likely benign,0.7,BP7,"Richards et al., Genetics in Medicine, 2015, PMID: 25741868",,19.72,
4924701,NR2F1,deepseek-chat,Pathogenic,Pathogenic,0.75,PM4;PM2;PP3,"Chen et al., Am J Hum Genet, 2016;Bosch et al., Eur J Hum Genet, 2016",,2.66,
2093135,KMT2C,kimi-k2.6,Benign,Uncertain significance,0.3,,"Kleefstra et al., Am J Hum Genet, 2012;;Lalonde et al., Hum Mutat, 2012;;Richards et al., Genet Med, 2015;;ACMG Sequence Variant Interpretation Working Group, 2015",,7.65,
2093135,KMT2C,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PVS1_Strength_Modified,"Richards et al., Genet Med, 2015",,2.29,
2093135,KMT2C,deepseek-v4-pro,Benign,Uncertain significance,0.2,PM2,,,27.8,
34345,SLC17A5,kimi-k2.6,Pathogenic,Pathogenic,0.85,PVS1;PM2;PP3,"Aula N, Nat Genet, 2000; Bianchi A, Hum Mutat, 2002; Verheijen FW, Hum Mol Genet, 1999; ACMG/AMP Sequence Variant Interpretation Guidelines, 2015",,7.7,
4924701,NR2F1,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS2;PM1;PM2;PM4;PP3,"Bosch DG, et al. Am J Hum Genet. 2014;94(2):303-9.;Rech ME, et al. Hum Mutat. 2020;41(5):998-1010.",,46.23,
34345,SLC17A5,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;PP3,"Huizing et al., N Engl J Med, 1996;Kleta et al., Am J Hum Genet, 2004",,2.76,
501660,RIPOR2,deepseek-v4-pro,Benign,Pathogenic,0.95,PS3;PM2;PM3;PP1;PP3,"Diaz-Horta et al., Hum Mol Genet, 2018;PMID: 29625052",,65.61,
727787,LAMA1,kimi-k2.6,Benign,Uncertain significance,0.3,,,,3.58,
727787,LAMA1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,2.23,
1477871,FLCN,kimi-k2.6,Pathogenic,Pathogenic,0.99,PVS1;PM2,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;Trujillano et al., A comprehensive global study of clinical and genetic characteristics of Birt-Hogg-Dubé syndrome, Orphanet J Rare Dis, 2019",,7.1,
1477871,FLCN,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2_Supporting,"Nickerson ML, et al. Cancer Cell, 2002;Toro JR, et al. J Med Genet, 2008",,2.6,
4803691,ATM,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Richards S et al., Genet Med, 2015;Stankovic T et al., Am J Hum Genet, 1998",,85.17,
1477871,FLCN,deepseek-v4-pro,Pathogenic,Pathogenic,0.99,PVS1;PM2,"Schmidt LS, et al., Am J Hum Genet, 2005;Nickerson ML, et al., Cancer Cell, 2002",,12.98,
1159771,MSN,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015; ACMG Sequence Variant Interpretation Guidelines",,4.57,
1159771,MSN,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.31,
4800853,TMEM216,kimi-k2.6,Pathogenic,Uncertain significance,0.3,,"Bachmann-Gagescu R, et al., J Med Genet, 2012; TMEM216 is associated with Joubert syndrome and Meckel-Gruber syndrome",,4.76,
