AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
1245256,CRLF1,qwen3.7-max,Benign,Likely benign,0.8,BP7,"Richards S, et al., Genet Med, 2015",,11.46,
1595058,STAG2,qwen3.7-max,Benign,Uncertain significance,0.5,,,,20.97,
544321,BCKDHB,qwen3.7-max,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Chuang DT, et al. GeneReviews, 2006",,21.57,
1523421,ILK,qwen3.7-max,Benign,Uncertain significance,0.6,BP7,"Richards S, et al., Genet Med, 2015",,22.1,
46864,PSEN1,qwen3.7-max,Pathogenic,Pathogenic,0.95,PM1;PM2;PP1;PP3,"Cruts M, et al., Hum Mutat, 2012;Kamimura K, et al., Neurology, 1998",,25.32,
4931682,WAC,qwen3.7-max,Pathogenic,Pathogenic,0.85,PVS1;PM2,"DeSanto et al., Am J Hum Genet, 2015",,22.8,
4975120,CTNNA1,qwen3.7-max,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Richards et al., Genet Med, 2015;ClinVar",,14.06,
1153278,NAXE,qwen3.7-max,Benign,Likely benign,0.8,BP7,"Richards et al., Genet Med, 2015",,14.93,
1196263,DRP2,qwen3.7-max,Benign,Uncertain significance,0.6,PM2,,,18.24,
53208,ANAPC15;LRTOMT;TOMT,qwen3.7-max,Benign,Uncertain significance,0.6,PM2;PP3,ClinVar,,14.58,
1224759,PTPRO,qwen3.7-max,Benign,Likely benign,0.7,BP7,"Richards et al., Genet Med, 2015",,10.72,
1154108,DRC1,qwen3.7-max,Benign,Uncertain significance,0.6,PM2;PP3,,,13.37,
350145,CYP24A1,qwen3.7-max,Benign,Uncertain significance,0.5,PM2,"Schlingmann KP, et al., N Engl J Med, 2011",,13.71,
102013,GNPTAB,qwen3.7-max,Benign,Likely benign,0.8,BP7,"Richards S, et al., Genet Med, 2015",,16.77,
1580096,IFT88,qwen3.7-max,Benign,Uncertain significance,0.5,PM2,,,13.95,
249748,PSEN2,qwen3.7-max,Benign,Likely benign,0.8,BP7,,,16.5,
51200,SGCB,qwen3.7-max,Pathogenic,Pathogenic,0.7,PM2;PP3,"Richards et al., Genet Med, 2015",,23.04,
420780,NF1,qwen3.7-max,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Fahsold R, et al., Am J Hum Genet, 2000;Messiaen LM, et al., Neurology, 2000",,18.14,
4837281,NEB,qwen3.7-max,Pathogenic,Pathogenic,0.85,PVS1;PM2,"Richards S, et al., Genet Med, 2015",,11.69,
4907933,SYCE1,qwen3.7-max,Pathogenic,Uncertain significance,0.5,PM2,,,12.21,
4930494,COMP,qwen3.7-max,Pathogenic,Pathogenic,0.85,PM1;PM2;PP3,"Briggs et al., Nat Genet, 1995;Hecht et al., Am J Hum Genet, 1995",,27.85,
4968153,SALL1,qwen3.7-max,Pathogenic,Pathogenic,0.85,PVS1;PM2,"Kohlhase J, et al., Nat Genet, 1998;Botzenhart EM, et al., Hum Mutat, 2005",,20.86,
742994,TUBGCP6,qwen3.7-max,Benign,Uncertain significance,0.6,BP7,,,16.57,
1058555,ALPL,qwen3.7-max,Pathogenic,Uncertain significance,0.6,PM2;PP3,"Richards S, et al., Genet Med, 2015",,17.72,
4843691,COL5A1,qwen3.7-max,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Richards et al., Genet Med, 2015",,20.62,
54277,TJP2,qwen3.7-max,Benign,Uncertain significance,0.4,PM2,,,14.36,
440858,PKD2,qwen3.7-max,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Richards S, et al., Genet Med, 2015;Cornec-Le Gall E, et al., Am J Hum Genet, 2013",,29.1,
2040246,CAMTA1,qwen3.7-max,Benign,Uncertain significance,0.5,BP4,"Richards S, et al., Genet Med, 2015",,18.51,
4969148,GSK3B,qwen3.7-max,Pathogenic,Pathogenic,0.8,PVS1;PM2,"Richards S, et al., Genet Med, 2015",,21.33,
1631466,MRPS34,qwen3.7-max,Benign,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,17.54,
